faiss_id,imdb_id,title,rating,year,genre,director,cast,duration,description,keywords,poster_url,trailer_url,score,rerank_score,source
11569,tt8333978,Maharshi,7.1,2019,"Action,Drama",Vamshi Paidipally,"Mahesh Babu, Pooja Hegde, Allari Naresh, Jagapati Babu",176,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?","businessman, protest, agriculture, millionaire, social justice, social issues, environmental issues, downtrodden farmers, social responsibility, loss of father",https://image.tmdb.org/t/p/w500/pV6xLQh54ga8oaQqJtUqLp12LwQ.jpg,https://www.youtube.com/watch?v=ByjXIbg4hjw&pp=ygUQTWFoYXJzaGkgdHJhaWxlcg%3D%3D,0.6035395264625549,0.6445721675952276,RAG
10820,tt2071613,Business Man,7.2,2012,"Action,Crime,Drama",Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal, Prakash Raj, Sayaji Shinde",133,"Just as the cops have declared the end of Mafia in Mumbai, a man named Surya arrives in the city with the intentions of conquering it.","corruption, loss of loved one, gangster, anti hero, murder, vigilante, organized crime, extortion, mafia, orphan, corrupt politician, gun violence, rise to power, political corruption, crime syndicate, mumbai, violence, intense, powerful",https://image.tmdb.org/t/p/w500/hLF5o53irg0ZVV4ecLptkLgiTXq.jpg,https://www.youtube.com/watch?v=xo_ZUn99wQ4,0.5882002115249634,0.6392034073670705,RAG
9768,tt1756476,Dookudu,7.4,2011,"Action,Comedy,Drama",Sreenu Vaitla,"Mahesh Babu, Samantha Ruth Prabhu, Prakash Raj, Sonu Sood",170,"To protect his father recovering from a coma, a relentless cop must pose as the political leader his father always envisioned while hunting the men who tried to kill him.","coma, undercover, mafia boss, deception, revenge, mafia, tv show in film, make believe, father son relationship, love story, reality tv, tv show",https://image.tmdb.org/t/p/w500/e9uffrN9z22uuiBF9B0bTDDvbjz.jpg,https://www.youtube.com/watch?v=R15hfyOQ_GE&pp=ygUPRG9va3VkdSB0cmFpbGVy,0.581147313117981,0.6367348929246267,RAG
11335,tt0366840,Okkadu,8.0,2003,"Action,Drama,Romance",Gunasekhar,"Mahesh Babu, Bhumika Chawla, Prakash Raj, Mukesh Rishi",171,"Ajay, a fiery Kabaddi player from Hyderabad, visits Kurnool for a tournament and rescues Swapna from a faction leader Obul Reddy, who wants to force her into marriage. He secretly hides her in his home and assists her in planning her escape abroad for her higher studies. But, fate has other plans.","rescue, police, sports, kidnapping, rivalry, tension, tournament, falling in love, tough guy, faction, escape plan, manhunt, kabaddi, father son relationship, brother sister relationship, factionism, sport, action drama",https://image.tmdb.org/t/p/w500/anRD9xypdejFlbp0f3eQrSDUtbi.jpg,https://www.youtube.com/watch?v=R_umGI0FuiM&pp=ygUOT2trYWR1IHRyYWlsZXI%3D,0.5780594348907471,0.6356541355450949,RAG
9221,tt0471571,Athadu,8.2,2005,"Action,Crime,Drama",Trivikram Srinivas,"Mahesh Babu, Trisha Krishnan, Sonu Sood, Prakash Raj",172,"A hitman, Nandu, is hired to stage the assassination of a politician. However, when the politician is actually killed and Nandu is framed for the murder, he assumes a dead man's identity to evade the law.","assassination, corruption, escape, hitman, politics, attempted murder, investigation, redemption, politician, deception, revenge, murder, betrayal, on the run, conspiracy, shooter, one man army, tough guy, bank robbery, gunshot",https://image.tmdb.org/t/p/w500/AlopJ5sUgsf0pFn8FfXqdhyfL2Z.jpg,https://www.youtube.com/watch?v=KWt9dzrc1Go,0.5751528739929199,0.6346368392308553,RAG
4705,tt2375559,1: Nenokkadine,7.9,2014,"Action,Thriller",Sukumar,"Mahesh Babu, Kriti Sanon, Nassar, Kelly Dorji",170,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,"london, england, rock star, identity, hallucination, identity crisis, crime boss, illusion, revenge, memory, psychological thriller, assumed dead, psychological disorder, green revolution, belfast",https://image.tmdb.org/t/p/w500/dYpqpA7BsDHeyAGs9AAEPhZmbck.jpg,https://www.youtube.com/watch?v=NKTUbFsN8WA,0.5710389018058777,0.6331969489653906,RAG
